title,director,cast,country,date_added,release_year,rating,number_of_seasons,listed_in,description
Two Sentence Horror Stories,Unknown,"Nicole Kang, Jim Parrack, Tara Pacheco, Christopher Shyer, Kimberley Wong, Wai Ching Ho, Greta Quispe, Zaria Degenhardt, Uly Schlesinger, Kate Jennings Grant, Aleyse Shannon, Guillermo Arribas, Jaiden Smith, Pepper Binkley, Mikelle Wright-Matos, Melinda Mo",United States,2019-09-20T00:00:00Z,2019,TV-14,1,"TV Horror, Teen TV Shows",This anthology series of terror features diverse characters facing primal fears in spine-chilling situations that stretch past daily routine.
Mobile Suit Gundam UC,Unknown,"Kouki Uchiyama, Ayumi Fujimura, Hiro Shimono, Haruka Tomatsu, Daisuke Namikawa, Megumi Toyoguchi, Yuhko Kaida, Shuichi Ikeda, Tetsuya Kakihara",Japan,2018-09-20T00:00:00Z,2014,TV-14,1,"Anime Series, International TV Shows","When Banagher Links meets the mysterious Audrey Burne, he inherits the Unicorn Gundam and is swept up into the battle for space colony independence."
Monkey Twins,Unknown,"Phakin Khamwilaisak, Sumret Muengput, Alisa Kunkwaeng, Zozeen Panyanut Jirarottanakasem, Akarat Nimitchai, Warawut Poyim, Vithaya Pansringarm, Phutharit Prombandal, Kazu Patrick Tang",Thailand,2018-09-02T00:00:00Z,2018,TV-MA,1,"Crime TV Shows, International TV Shows, TV Action & Adventure","Inspired by Khon dance drama and Thai martial arts, a fighter scarred by the past joins forces with a determined cop to battle an organized crime ring."
Chef's Table: France,Unknown,Unknown,Unknown,2016-09-02T00:00:00Z,2016,TV-14,1,Docuseries,Sample the bold new flavors of France with chefs who are pushing the boundaries of fine dining and reinventing a rich culinary tradition.
Kulipari: An Army of Frogs,Unknown,"Mark Hamill, Keith David, Wendie Malick, Josh Keaton, Mikey Kelley, Phil LaMarr, Laraine Newman, Jess Harnell, Charles Adler, Amy Margolis, Cree Summer, Lacey Chabert, Rolonda Watts, Kevin Michael Richardson, Candi Milo",United States,2016-09-02T00:00:00Z,2016,TV-Y7-FV,1,Kids' TV,"In a tale of bravery and heroism, fearless frogs go to war against the sinister scorpions and spiders that have teamed up to conquer the amphibians."
Transformers: Rescue Bots,Unknown,"Lacey Chabert, Elan Garfias, Maurice LaMarche, Jason Marsden, Shannon McKain, Steve Blum, Parvesh Cheena, D.C. Douglas, Imari Williams, LeVar Burton, Diamond White",International,2018-09-19T00:00:00Z,2016,TV-Y7,1,Kids' TV,"Follow the adventure of four young transformers, Heatwave, Chase, Blades and Boulder, and their human counterparts: a family of emergency responders."
Manhunt,Unknown,"Sam Worthington, Paul Bettany, Chris Noth, Jeremy Bobb, Ben Weber, Lynn Collins, Brían F. O'Byrne, Keisha Castle-Hughes, Mark Duplass, Elizabeth Reaser, Diesel Madkins",United States,2017-09-19T00:00:00Z,2017,TV-14,1,"Crime TV Shows, TV Dramas, TV Mysteries","Faced with few clues and an increasingly panicked public, the FBI calls on a new kind of profiler to help track down the infamous Unabomber."
When the Camellia Blooms,Unknown,"Kong Hyo-jin, Kang Ha-neul, Kim Ji-seok, Oh Jung-se, Yeom Hye-ran, Son Dam-bi, Ji E-su, Go Du-sim",South Korea,2019-09-18T00:00:00Z,2019,TV-14,1,"International TV Shows, Korean TV Shows, Romantic TV Shows","Dongbaek is a single mother. When a potential new love enters her life, she finds ways to defy the social stigmas surrounding her."
Forget Me Not,Unknown,Unknown,United Kingdom,2017-09-18T00:00:00Z,2011,TV-MA,1,"International TV Shows, TV Dramas","Teenage Xue Ming was forced to marry the man who raped her. Years after abandoning her young sons to find a better life, can she escape the guilt?"
The Beat,Unknown,"Henley Hii, Yise Loo, Aric Ho, Tiffany Leong, Issac Dang, Christy Yow",Unknown,2017-09-18T00:00:00Z,2012,TV-PG,1,"International TV Shows, TV Dramas","The artistic pursuits of two childhood friends, an aspiring singer and a talented dancer, lead them to four other 20-somethings in a drumming group."
Timeless Season,Unknown,"Loo Aye Keng, Chen Ke Mei, Hady, Hishiko Woo, Jiang Pei Pei, Steve Yap",Unknown,2017-09-18T00:00:00Z,2009,TV-14,1,"International TV Shows, TV Dramas","A decade after college, a wake reunites five female friends struggling with illness, infidelity, toxic in-laws, spousal abuse and other life issues."
Ancient Aliens,Unknown,Robert Clotworthy,United States,2019-09-17T00:00:00Z,2010,TV-PG,1,"Docuseries, Science & Nature TV","Were ancient humans really behind some of the most important technological advances in civilized history, or did they have extraterrestrial help?"
The Last Kids on Earth,Unknown,"Nick Wolfhard, Charles Demers, Garland Whitt, Montse Hernandez, Brian Drummond, Giles Panton, Keith David",United States,2019-09-17T00:00:00Z,2019,TV-Y7-FV,1,"Kids' TV, TV Comedies","When zombies and monsters invade his hometown, a scrappy 13-year-old orphan teams up with his friends in hopes of surviving the chaos."
Click for Murder,Unknown,Donal MacIntyre,United Kingdom,2017-09-17T00:00:00Z,2017,TV-14,1,"British TV Shows, Crime TV Shows, Docuseries",Crime journalist Donal MacIntyre reveals how deadly the internet can be as he dissects the technological methods behind heinous acts.
America's Book of Secrets,Unknown,Jonathan Adams,United States,2019-09-15T00:00:00Z,2014,TV-14,1,Docuseries,"This engaging documentary series shares the surprising backstories of familiar institutions like the Pentagon, West Point and the Playboy Mansion."
Bakugan: Battle Planet,Unknown,"Jonah Wineberg, Deven Christian Mack, Margarita Valderrama, Ticoon Kim, Jason Deline, Will Bowes",International,2019-09-15T00:00:00Z,2018,TV-PG,1,"Anime Series, Kids' TV",Dan Kouzo and his pals bond with mysterious creatures known as Bakugan while fighting sinister forces out to control the world.
Cold Case Files,Unknown,Unknown,United States,2019-09-15T00:00:00Z,2017,TV-14,1,"Crime TV Shows, Docuseries",Masterful detectives utilize forensic science and criminal psychology to re-examine long-standing cases.
Pawn Stars,Unknown,"Corey Harrison, Richard Harrison, Rick Harrison, Austin ""Chumlee"" Russell",United States,2019-09-15T00:00:00Z,2010,TV-PG,1,Reality TV,"Father Richard Harrison, son Rick and grandson Corey appraise an array of strange objects brought into their Gold & Silver Pawn Shop in Las Vegas."
Surviving R. Kelly,Unknown,R. Kelly,United States,2019-09-15T00:00:00Z,2019,TV-MA,1,Docuseries,"In this documentary series on the tangled history of allegations against musician R. Kelly, women give detailed accounts of sexual and mental abuse."
The Curse of Oak Island,Unknown,Robert Clotworthy,United States,2019-09-15T00:00:00Z,2014,TV-PG,1,Docuseries,"On an ominous island off of Nova Scotia, two brothers chase historical theories on a quest for enigmatic treasure."
The Rap Game,Unknown,Jermaine Dupri,United States,2019-09-15T00:00:00Z,2016,TV-14,1,Reality TV,Young lyricists between the ages of 12 and 16 compete for a chance to sign to Jermaine Dupri's label while being mentored by hip-hop and R&B's finest.
The Universe,Unknown,Erik Thompson,United States,2019-09-15T00:00:00Z,2009,TV-PG,1,"Docuseries, Science & Nature TV","Discover the secrets of the universe in this series that pairs animation with insights on distant planets, black holes and other celestial marvels."
Al Hayba,Unknown,"Taim Hasan, Nadine Nassib Njeim, Abdo Chahine, Oweiss Mkhallalati, Mona Wassef",Lebanon,2018-09-15T00:00:00Z,2017,TV-14,1,"Crime TV Shows, International TV Shows, TV Dramas","In a village by the Lebanon-Syria border, the head of an arms-smuggling clan contends with family conflicts, power struggles and complicated love."
Cabins in the Wild with Dick Strawbridge,Unknown,"Dick Strawbridge, William Hardie",United Kingdom,2018-09-15T00:00:00Z,2017,TV-PG,1,"British TV Shows, International TV Shows, Reality TV","Engineer Dick Strawbridge and craftsman Will Hardie tour eight unique cabins built for a pop-up hotel in Wales, and construct No. 9 on their own."
How to Live Mortgage Free with Sarah Beeny,Unknown,Unknown,Unknown,2018-09-15T00:00:00Z,2018,TV-14,1,"British TV Shows, International TV Shows, Reality TV",Real estate expert and TV presenter Sarah Beeny meets with clever property owners who share their colorful stories about living mortgage free.
Inside The Freemasons,Unknown,Unknown,United Kingdom,2018-09-15T00:00:00Z,2017,TV-14,1,"British TV Shows, Docuseries, International TV Shows","Explore the history and future of the Freemasons, a fraternal order steeped in both secrecy and tradition."
The Five,Mark Tonderai,"Tom Cullen, O.T. Fagbenle, Lee Ingleby, Sarah Solemani, Hannah Arterton, Geraldine James, Michael Maloney, Rade Serbedzija, Jonathan Kerrigan, Don Warrington, Sophia La Porta",United Kingdom,2017-09-15T00:00:00Z,2016,TV-MA,1,"British TV Shows, Crime TV Shows, TV Dramas","Twenty years after 5-year-old Jesse disappears near his home, his DNA turns up at the scene of a woman's murder, baffling his family and the police."
Wartime Portraits,Unknown,Unknown,Poland,2016-09-15T00:00:00Z,2014,TV-MA,1,"Docuseries, International TV Shows","Part live-action and part animation, this visually inventive series offers striking portrayals of some of the unsung heroes of World War II."
Behind the Newsroom,Unknown,"Pok Piyatida Woramusik, Willie Ruengrit McIntosh, Charebelle Lanlalin, Tono Pakin Kumwilaisuk, Point Cholawit Meetongcom, Cee Hathaiphat, Pitta Na Pattalung, Ae Sasikarn Aphichartworasilp, Louis Pongphan Petchbuntoon, Sawitree Samipak",Unknown,2018-09-14T00:00:00Z,2015,TV-14,1,"International TV Shows, Romantic TV Shows, TV Dramas","Confident and cool under pressure, top news presenter Punchalee meets her match in the conniving Dao, who'll stop at nothing to fulfill her ambitions."
Boca Juniors Confidential,Unknown,Unknown,Unknown,2018-09-14T00:00:00Z,2018,TV-PG,1,"Docuseries, International TV Shows, Spanish-Language TV Shows","Players, fans and staff of soccer powerhouse Boca Juniors provide an exclusive, behind-the-scenes look at Argentina's legendary club."
Car Masters: Rust to Riches,Unknown,"Mark Towle, Shawn Pilot, Constance Nunes, Tony Quinones, Mike ""Caveman"" Pyle",Unknown,2018-09-14T00:00:00Z,2018,TV-PG,1,Reality TV,"The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks, trading up to a showstopper they can sell for big bucks."
Norm Macdonald Has a Show,Unknown,Unknown,United States,2018-09-14T00:00:00Z,2018,TV-MA,1,"Stand-Up Comedy & Talk Shows, TV Comedies",Comedian Norm Macdonald hosts his celebrity friends for casual conversations that range from silly to serious and take many unexpected turns.
Super Monsters Monster Party,Unknown,"Elyse Maloway, Vincent Tong, Erin Matthews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Ian James Corlett, Britt McKillip, Kathleen Barr, Diana Kaarina",Unknown,2018-09-14T00:00:00Z,2018,TV-Y,1,Kids' TV,"Sing along and move to this groovy collection of music videos featuring monster friends Katya, Lobo, Zoe, Drac, Cleo and Frankie!"
The Rise of Phoenixes,Unknown,"Chen Kun, Ni Ni, Zhao Lixin, Ni Dahong, Yuan Hong, Wang Ou, Bai Jinting, Zhang Xiaochen, Mei Ting, Liu Mintao, Yu Mingjia, Hou Yansong, Hai Yitian, Shi An, Shao Tong",China,2018-09-14T00:00:00Z,2018,TV-14,1,"International TV Shows, Romantic TV Shows, TV Action & Adventure","When a secret from the past rears its head, a respected court scholar must choose between avenging her family and staying true to the prince she loves."
Kabaneri of the Iron Fortress: The Battle of Unato,Unknown,"Tasuku Hatanaka, Sayaka Senbongi, Maaya Uchida, Toshiki Masuda, Kanae Oki, Mariya Ise, Ryota Osaka, Kensuke Sato, Maxwell Powers, Shinichiro Miki",Unknown,2019-09-13T00:00:00Z,2019,TV-MA,1,"Anime Series, International TV Shows, TV Horror","Ikoma and the Iron Fortress take their fight to the battlegrounds of Unato, joining the alliance to reclaim the region from the kabane horde."
Marianne,Unknown,"Victoire Du Bois, Lucie Boujenah, Tiphaine Daviot, Ralph Amoussou, Bellamine Abdelmalek, Mehdi Meskar, Alban Lenoir, Mireille Herbstmeyer, Corinne Valancogne, Patrick d'Assumçao, Pierre Aussedat",France,2019-09-13T00:00:00Z,2019,TV-MA,1,"International TV Shows, TV Dramas, TV Horror","Lured back to her hometown, a famous horror writer discovers that the evil spirit who plagues her dreams is now wreaking havoc in the real world."
Monarca,Unknown,"Irene Azuela, Juan Manuel Bernal, Osvaldo Benavides, Rosa María Bianchi, Antonio de la Vega, Luis Rábago, Sophie Gómez, James Hyde, Carla Adell, Regina Pavón, Dalí González, Alejandro de Hoyos Parera, José Manuel Rincón, Daniela Schmidt, Gabriela de la Garza",Mexico,2019-09-13T00:00:00Z,2019,TV-MA,1,"International TV Shows, Spanish-Language TV Shows, TV Dramas","After 20 years, Ana María returns to Mexico and vies for control of her family's tequila empire as it threatens to crumble under corruption and secrets."
Top Boy,Unknown,"Ashley Walters, Kane Robinson, Micheal Ward, Shone Romulus, Simbiatu Ajikawo, Lisa Dwan, David Omoregie, Jasmine Jobson, Hope Ikpoku Jr., Araloyin Oshunremi, Keiyon Cook",United Kingdom,2019-09-13T00:00:00Z,2019,TV-MA,1,"British TV Shows, Crime TV Shows, International TV Shows","Two seasoned drug dealers return to the gritty streets of London, but their pursuit of money and power is threatened by a young and ruthless hustler."
Unbelievable,Unknown,"Toni Collette, Merritt Wever, Kaitlyn Dever, Dale Dickey, Scott Lawrence, Danielle Macdonald, Austin Hébert, Eric Lange, Elizabeth Marvel",United States,2019-09-13T00:00:00Z,2019,TV-MA,1,"Crime TV Shows, TV Dramas","After a young woman is accused of lying about a rape, two female detectives investigate a spate of eerily similar attacks. Inspired by true events."
The I-Land,Unknown,"Natalie Martinez, Kate Bosworth, Ronald Peet, Kyle Schmid, Alex Pettyfer, Sibylla Deen, Gilles Geary, Anthony Lee Medina, Kota Eberhardt, Michelle Veintimilla, Bruce McGill",United States,2019-09-12T00:00:00Z,2019,TV-MA,1,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy","Wiped clean of memories and thrown together, a group of strangers fight to survive harsh realities – and the island that traps them."
